j,State/Region,ApprovedForBoth,Quantity (g),Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Mutton Curry + Roti + Salad,Delhi,,1 bowl + 3 rotis + 1 plate,575,35,38,35,Non-Veg,Lunch/Dinner,"Mutton, onions, tomatoes, yogurt, spices, whole wheat flour, cucumber, onions"
Pav Bhaji + Pav + Onions,Delhi,,1 medium bowl + 2 pav + 1 small bowl,485,12,68,18,Veg,Snacks,"Mixed vegetables, pav bread, butter, onions, tomatoes, spices"
Dabeli + Chutney,Delhi,,120g (2 pieces ),304,5.1,44.4,12.4,Veg,Snacks,"Pav bread, potatoes, chutneys, pomegranate, sev, peanuts"
Manchurian Dry + Fried Rice,Delhi,,1 small bowl + 1 medium plate,385,8,58,12,Veg,Snacks/Lunch,"Cauliflower/cabbage, cornflour, soy sauce, rice, vegetables, garlic"
Chicken Manchurian + Fried Rice,Delhi,,1 small bowl + 1 medium plate,445,18,54,16,Non-Veg,Snacks/Lunch,"Chicken, cornflour, soy sauce, rice, vegetables, garlic, ginger"
Chili Chicken + Fried Rice,Delhi,,1 small bowl + 1 medium plate,425,16,52,16,Non-Veg,Snacks/Lunch,"Chicken, cornflour, chili sauce, rice, vegetables, soy sauce"
Thepla + Curd + Pickle ,Gujarat,,3 theplas + 1 bowl curd + 1 tsp pickle,465,16.8,68.2,14.6,Veg,Breakfast,"Wheat flour, fenugreek leaves, yogurt, pickle, tea"
Methi Thepla + Buttermilk + Pickle,Gujarat,,3 theplas + 1 glass buttermilk + 1 tsp pickle,405,14.6,62.8,10.4,Veg,Breakfast,"Wheat flour, fenugreek, buttermilk, pickle"
Methi Thepla + Yogurt + Pickle,Gujarat,,2 theplas + sides (150g),285,10,42,8,Veg,Breakfast/Lunch,"Wheat flour, fenugreek leaves, yogurt, pickle, turmeric"
Dhokla + Green Chutney ,Gujarat,,250g (4 pieces + 2 tbsp chutney ),325,12.4,58.6,6.8,Veg,Breakfast/Snack,"Gram flour, yogurt, green chutney, tea leaves"
Dudhi Halwa + Milk + Almonds,Gujarat,,220g (1 bowl + 1 glass milk + 1 tbsp almonds),485,14.6,68.4,16.2,Veg,Dessert,"Bottle gourd, milk, sugar, ghee, almonds"
Cabbage Sabzi + Roti + Dal + Rice,Gujarat,,1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice,445,16.2,76.8,9.6,Veg,Lunch/Dinner,"Cabbage, wheat flour, lentils, rice, spices"
Green Peas Sabzi + Roti + Dal + Rice,Gujarat,,1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice,465,17.2,78.4,9.8,Veg,Lunch/Dinner,"Green peas, wheat flour, lentils, rice, spices"
Toor Dal + Rice + Roti + Ghee + Pickle,Gujarat,,1 bowl dal + 1 cup rice + 2 rotis + 1 tsp ghee + 1 tsp pickle,485,18.4,82.6,10.8,Veg,Lunch/Dinner,"Toor dal, rice, wheat flour, ghee, pickle"
Karela Sabzi + Roti + Dal + Rice,Gujarat,,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),445,16.4,74.6,9.8,Veg,Lunch/Dinner,"Bitter gourd, wheat flour, lentils, rice, spices"
Khichdi + Kadhi + Pickle + Papad,Gujarat,,1 bowl + 1 bowl kadhi + 1 tsp pickle + 1 papad),425,16.4,72.8,9.6,Veg,Lunch/Dinner,"Rice, moong dal, yogurt, gram flour, pickle, papad"
Daliya + Ghee + Jaggery + Milk,Haryana,,1 medium bowl + 1 tsp + 1 piece + 1 glass,385,14,65,8,Veg,Breakfast,"Broken wheat, ghee, jaggery, milk, cardamom"
Gajar Methi + Roti + Dal + Ghee,Haryana,,350g (1 medium bowl + 2 rotis + 1 small bowl + 1 tsp),465,16,65,16,Veg,Lunch/Dinner,"Carrots, fenugreek leaves, onions, wheat flour, lentils, ghee"
Baked Mathri + Dahi,Haryana,,40g (2-3 pieces),110,3.5,16,4,Veg,Snacks,"Wheat flour, cumin, carom seeds, yogurt"
Dal Rice+ Ghee + Pickle,Himachal Pradesh,,320g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),540,16,88,12,Veg,Lunch/Dinner,"Yellow lentils, rice, turmeric, cumin, ghee, pickle"
Fruit Chaat ,Himachal Pradesh,,150g (1 medium bowl),125,2,28,1,Veg,Snacks,"Mixed fruits, chaat masala, lemon juice, black salt"
Chana Chaat + Onions,Himachal Pradesh,,100g (1 small bowl),185,8,28,6,Veg,Snacks,"Chickpeas, onions, tomatoes, chutneys, chaat masala, coriander"
Khakhra + Pickle,Himachal Pradesh,,50g (3-4 pieces + 1 tbsp),185,5,28,6,Veg,Snacks,"Wheat flour, oil, spices, pickle"
Uttapam + Coconut Chutney,Karnataka,yes,2 pieces (150g) + 50g,280,8,45,10,Veg,Breakfast,"Fermented rice-urad batter, onions, tomatoes, coconut"
Poha + Peanuts,Karnataka,,1 plate (250g),350,8,70,8,Veg,Breakfast,"Flattened rice, onions, turmeric, peanuts"
Dosa Sambar,Kerala,,2 dosa (100g) + 1 bowl sambar (150g),320,9,58,7,Veg,Breakfast,"Rice, urad dal, mixed vegetables, toor dal, spices"
Vegetable Appe,Kerala,yes,5 pieces (150g),200,5,30,7,Veg,Breakfast,"Semolina, yogurt, carrots, coriander"
Moong Dal Cheela + Green Chutney,Kerala,yes,2 cheelas + chutney ,220,12,32,6,Veg,Breakfast,"Moong dal, ginger, green chili, mint chutney, coriander"
Vegetable Upma + Coconut Chutney,Kerala,yes,1 bowl + chutney (150g),240,6,42,6,Veg,Breakfast,"Semolina, mixed vegetables, coconut chutney, mustard seeds"
Chepa Pulusu + Rice,Kerala,,1  small bowl (150g) Chepa Pulusu + 1 small bowl  ,255,16.5,34,8,Non-Veg,Lunch/Dinner,"Fish, tamarind, red chilies, curry leaves, oil"
Gutti Vankaya Koora + Rice,Kerala,,1 small bowl (150g) + 1 small bowl(120g),230,5.6,35,8,Veg,Lunch/Dinner,"Brinjal, tamarind, peanuts, sesame seeds, spices"
Pulihora,Kerala,,1 bowl (150g),203,4.5,34.3,5.6,Veg,Lunch/Dinner,"Rice, tamarind, curry leaves, mustard seeds, turmeric, peanuts"
Rasam,kerala,yes,1 bowl (150ml),50,1,10,1,Veg,Lunch/Dinner,"Tamarind, tomato, pepper, cumin, mustard seeds, curry leaves"
Curd Rice,kerala,yes,1 bowl (200g),150,5,25,3,Veg,Lunch/Dinner,"Cooked rice, yogurt, mustard seeds, curry leaves, ginger"
Banana Fritters,Kerala,yes,2 pieces (50g),130,1,20,5,Veg,Snack,"Ripe bananas, flour, sugar, coconut oil"
Appam Vegetable Stew,Kerala,,2 appam (120g) + 1 bowl stew (180g),350,6,63,9,Veg,Breakfast,"Rice, coconut milk, potato, carrot, beans, onion, spices"
Idiyappam Egg Curry,Kerala,,4 idiyappam (120g) + 1 egg curry (100g),390,14,65,9,Non-Vegetarian,Breakfast,"Rice flour, eggs, coconut milk, onion, spices"
Parotta Veg Kurma,Kerala,,2 parotta (120g) + 1 bowl veg kurma (100g),420,7,65,13,Veg,Lunch/Dinner,"Maida, oil/ghee, coconut, mixed vegetables, spices"
Kerala Sadya (Mini),Kerala,,"1 plate rice (150g) + sambar, avial, thoran (200g total)",600,11,115,12,Veg,Lunch,"Rice, toor dal, coconut, mixed vegetables, curry leaves, spices"
Fish Curry Meals,Kerala,,1 plate rice (150g) + fish curry (100g) + thoran (50g),480,20,67,14,Non-Vegetarian,Lunch/Dinner,"Rice, fish, coconut, drumstick, curry leaves, spices"
Chicken Curry Meals,Kerala,,1 plate rice (150g) + chicken curry (100g) + veg side (50g),500,22,68,15,Non-Vegetarian,Lunch/Dinner,"Rice, chicken, coconut, beans, onion, spices"
Rice Sambar Thoran,Kerala,,1 plate rice (150g) + sambar (100g) + thoran (50g),370,8,76,5,Veg,Lunch/Dinner,"Rice, toor dal, beans, coconut, spices"
Sabudana Khichdi,Maharashtra,,200g (1 bowl),250,2,60,5,Veg,Breakfast,"Tapioca pearls, peanuts"
Misal Pav,Maharashtra,,1 medium bowl misal + 2 pav ,380,10.9,60.1,10.9,Veg,Breakfast,"Sprouted moth beans (200g), pav (150g)"
Stuffed Eggplant + Bajra Roti,Maharashtra,,2 eggplants + 2 roti (300g),380,14,55,12,Veg,Dinner,"Baby eggplants (100g), bajra roti (200g), peanut stuffing"
Dal Khichdi + Papad,Maharashtra,,1 Medium Bowl (350g),310,11.5,49.4,7.5,Veg,Dinner,"Rice-lentil porridge, roasted papad"
Paranthas Mixed + Dahi + Pickle,Punjab,,2 parathas + 1 small bowl + 1 tbsp,430,12,52,18,Veg,Breakfast,"Wheat flour, mixed vegetables, spices, ghee, yogurt, pickle"
Chole + Rice + Papad,Punjab,,315g (1 medium bowl + 1 large plate + 2 pieces),555,16,84,12,Veg,Lunch/Dinner,"Chickpeas, onions, tomatoes, ginger-garlic, cumin, coriander, garam masala, rice, papad"
Paneer Tikka + Roti + Dal,Punjab,,340g (6 pieces + 2 rotis + 1 small bowl),620,29,51,26,Veg,Lunch/Dinner,"Paneer, yogurt, ginger-garlic paste, bell peppers, onions, spices, wheat flour, lentils"
Dal Tadka + Rice + Ghee + Pickle,Punjab,,320g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),540,16,88,12,Veg,Lunch/Dinner,"Yellow lentils, onions, tomatoes, cumin, mustard seeds, turmeric, rice, ghee, pickle"
Paneer Makhani + Roti + Raita,Punjab,,1 bowl + 3 rotis + 1 bowl,715,25,40,28,Veg,Lunch/Dinner,"Paneer, tomatoes, butter, cream, onions, garlic, cashews, whole wheat flour, yogurt, cucumber"
Butter Chicken + Roti + Salad,Punjab,,1 bowl (200g) + 3 rotis + 1 plate,590,34,34,40,Non-Veg,Lunch/Dinner,"Chicken, butter, tomatoes, cream, onions, garlic, ginger, garam masala, whole wheat flour, yogurt, cucumber, onions"
Paneer Tikka + Chutney,Punjab,,140g (6 pieces + 2 tbsp),285,17,10,20,Veg,Snacks,"Paneer, yogurt, ginger-garlic paste, bell peppers, onions, spices, mint chutney"
Chana Chaat + Onions,Punjab,,100g (1 small bowl),185,8,28,6,Veg,Snacks,"Chickpeas, onions, tomatoes, chutneys, chaat masala, coriander"
Dahi Bhalla + Chutney,Punjab,,100g (2 pieces),185,6,25,8,Veg,Snacks,"Urad dal, yogurt, tamarind chutney, mint chutney, chaat masala"
Methi Paratha + Dahi + Achaar,Rajasthan,,2 parathas + 1 small bowl + 1 tbsp,405,15,52,16,Veg,Breakfast,"Wheat flour, fenugreek leaves, onions, green chilies, yogurt, pickle"
Makki ki Roti + Sarson Saag + Ghee,Rajasthan,,3 rotis + 1 medium bowl + 1 tbsp,445,14,58,16,Veg,Breakfast,"Corn flour, mustard greens, spinach, garlic, ginger, ghee"
Poha + Sev ,Rajasthan,,1 medium plate + 1 small portion,285,6,48,8,Veg,Breakfast,"Flattened rice, onions, mustard seeds, curry leaves, sev, namkeen"
Chole Puri + Pickle + Onions,Rajasthan,,280g (1 medium bowl + 4 puris + 1 tbsp + 1 small bowl),565,18,78,18,Veg,Breakfast/Lunch,"Chickpeas, wheat flour, oil, onions, tomatoes, spices, pickle"
Chole Puri + Pickle + Onions,Rajasthan,,1/2 medium bowl + 4 puris + 1 tbsp + 1 small bowl,425,14,59,14,Veg,Breakfast/Lunch,"Chickpeas, wheat flour, oil, onions, tomatoes, spices, pickle"
Khichdi + Pickle + Papad + Ghee + Curd,Rajasthan,,420g (1 bowl + 1 tsp pickle + 1 papad + 1 tsp ghee + 1 bowl curd),425,16.4,68.2,10.4,Veg,Lunch/Dinner,"Rice, moong dal, pickle, papad, ghee, yogurt"
Mutton Curry + Roti + Pickle,Rajasthan,,350g (1 medium bowl + 3 rotis + 1 tbsp),645,36,48,32,Non-Veg,Lunch/Dinner,"Mutton, onions, tomatoes, red chili, coriander, bajra flour, pickle"
Chicken Curry + Roti + Onions,Rajasthan,,320g (1 medium bowl + 2 rotis + 1 small bowl),585,38,42,26,Non-Veg,Lunch/Dinner,"Chicken, onions, tomatoes, red chili, turmeric, jowar flour, onions"
Bhindi Masala + Roti + Dal,Rajasthan,,320g (1 medium bowl + 2 rotis + 1 small bowl),445,15,68,14,Veg,Lunch/Dinner,"Okra, onions, tomatoes, turmeric, coriander, wheat flour, lentils"
Aloo Jeera + Bajra Roti + Dal,Rajasthan,,350g (1 medium bowl + 3 rotis + 1 small bowl),485,16,78,14,Veg,Lunch/Dinner,"Potatoes, cumin seeds, turmeric, green chilies, bajra flour, lentils"
Gourd Sabzi + Roti + Dal + Rice + Pickle,Rajasthan,,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp pickle),445,16.4,76.2,9.6,Veg,Lunch/Dinner,"Bottle gourd, wheat flour, lentils, rice, pickle"
Moong Dal + Rice + Roti + Pickle + Papad,Rajasthan,,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle + 1 papad),445,18.2,74.8,9.4,Veg,Lunch/Dinner,"Moong dal, rice, wheat flour, pickle, papad"
Masoor Dal + Rice + Roti + Ghee + Pickle,Rajasthan,,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp ghee + 1 tsp pickle),485,18.4,78.6,11.8,Veg,Lunch/Dinner,"Red lentils, rice, wheat flour, ghee, pickle"
Chana Dal + Rice + Roti + Pickle,Rajasthan,,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle),465,18.6,76.2,10.4,Veg,Lunch/Dinner,"Chana dal, rice, wheat flour, pickle, spices"
Gatte Ki Sabzi + Roti + Dal + Rice + Pickle,Rajasthan,,480g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp pickle),525,18.6,78.4,14.2,Veg,Lunch/Dinner,"Gram flour dumplings, wheat flour, lentils, rice, pickle, spices"
Dal Baati Churma + Ghee + Pickle,Rajasthan,,350g (3 baatis + 1 medium bowl + 2 tbsp + 1 tbsp),685,18,85,28,Veg,Lunch/Dinner,"Wheat flour, ghee, arhar dal, jaggery, almonds, cardamom, pickle"
Bati + Panchmel Dal + Churma + Ghee + Pickle,Rajasthan,,480g (2 batis + 1 bowl dal + 1 bowl churma + 2 tsp ghee + 1 tsp pickle),625,20.4,82.6,20.8,Veg,Lunch/Dinner,"Wheat flour, five lentils, jaggery, ghee, pickle"
Panchmel Dal + Rice + Ghee + Pickle,Rajasthan,,370g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),625,22,95,18,Veg,Lunch/Dinner,"Five mixed lentils, turmeric, red chili, cumin, ghee, rice, pickle"
Churma Laddu + Ghee,Rajasthan,,2 pieces + 1 tspp,365,6,48,16,Veg,Snacks,"Wheat flour, jaggery, ghee, cardamom, almonds"
Medu Vada,Tamil Nadu,yes,1 piece (50g),150,5,20,7,Veg,Breakfast/Snack,"Urad dal, black pepper, ginger, curry leaves, oil"
Bobbatlu,Tamil Nadu,,1 piece (50g),220,5,40,6,Veg,Dessert,"Wheat flour, chana dal, jaggery, cardamom, ghee"
Palada Payasam,Tamil Nadu,,1 cup (150ml),300,6,50,8,Veg,Dessert,"Rice flakes, milk, sugar, ghee, cashews, cardamom"
Bisi Bele Bhat,Tamil Nadu,,1 bowl (150g),199,6,35,5,Veg,Lunch,"Rice, toor dal, vegetables, tamarind, coconut, spices"
Udupi Chitranna,Tamil Nadu,,1 plate (150g),180,5,30,5,Veg,Lunch,"Rice, coconut, peanuts, curry leaves, turmeric, tamarind"
Sprout Salad + Curd,Universal,yes,1 bowl + 100g (300g),220,16,30,5,Veg,Breakfast/Lunch,"Moong sprouts, onion, tomato, yogurt 8"
Curd Rice,Tamil Nadu,yes,1 bowl (200g),180,6,30,5,Veg,Lunch/Dinner,"Rice, yogurt, mustard seeds, curry leaves, ginger"
Murukku,Tamil Nadu,yes,5 pieces (25g),80,1,10,4,Veg,Snack,
Bread Omelette,Universal,,2 slices + 2 eggs (250g),403,20.2,37.6,18,Eggetarian,Breakfast,"Whole wheat bread, eggs, butter 46"
Besan Chilla + Green Chutney,Universal,,2 chillas + 50g,280,12,35,10,Veg,Breakfast,"Gram flour, vegetables, mint-coriander"
Masala Omelette,Universal,,3 eggs + veggies (200g),320,21,10,22,Eggetarian,Breakfast,"Eggs, onions, chilies, coriander"
Egg Toast,Universal,,2 slices + 1 egg (150g),190,6.9,17.8,10.3,Non-Veg,Breakfast,"Bread, eggs, onions, tomatoes 34"
Milk oats – 1/2 cup oats cooked in 1/2 cup milk,Universal,,1 cup (100g),120,4,20,3,Veg,Breakfast,"Rolled oats, milk, cardamom (optional), sugar or jaggery (optional)"
Overnight Oats + Chia + Berries,Universal,,1 bowl (150g),220,8,35,6,Veg,Breakfast,"Rolled oats, chia seeds, berries, almond milk, maple syrup"
Oats Upma + Mixed Vegetables,Universal,,1 bowl (150g),220,8,38,6,Veg,Breakfast,"Steel-cut oats, beans, carrot, peas, mustard seeds, curry leaves, ghee"
Egg White Omelette + Vegetables + Toast,Universal,,1 omelette + toast (180g),220,18,25,6,Eggetarian,Breakfast,"Egg whites, spinach, tomato, onion, whole wheat toast"
Grilled Vegetable Sandwich + Milk,Universal,,1 sandwich + milk (180g),320,12,45,10,Veg,Breakfast/Lunch,"Grilled vegetables, whole wheat bread, cheese, milk"
Egg Salad Wrap + Pickle,Universal,,1 wrap + pickle (180g),320,15,42,10,Veg,Breakfast/Lunch,"Boiled eggs, whole wheat tortilla, pickle, vegetables"
Masala oats – 1/2 cup oats with 1/2 cup mixed vegetables & spices,Universal,,1 cup (100g),130,4,22,4,Veg,Breakfast/Lunch,"Rolled oats, carrot, beans, peas, onions, tomatoes, Indian spices"
Vegetable Sandwich + Mint Chutney,Universal,,1 sandwich (150g),285,8,48,8,Veg,Breakfast/Snack,"Whole wheat bread, cucumber, tomato, onion, mint chutney, butter"
Vegetable Pulao + Raita,Universal,,1 plate (400g),480,14,80,12,Veg,Lunch,"Rice, mixed vegetables, spiced yogurt"
Chicken Curry + Rice,Universal,,1 small bowl Chicken Curry + 1.5 cups rice (400g),460,22,72,9,Non-Veg,Lunch,"Chicken (150g), rice (250g), Kolhapuri masala"
Egg Curry + Rice + Papad,Universal,,1 Small bowl + 1 large plate + 2 pieces,280,9.7,31,13,Eggetarian,Lunch/Dinner,"Eggs, onions, tomatoes, turmeric, rice, papad"
Kundapura Koli Saaru,Universal,,1 bowl (150ml),150,18,5,8,Non-Veg,Lunch/Dinner,"Chicken, coconut milk, ginger, garlic, spices"
Menthya Huli,Universal,,1 bowl (150ml),90,2,15,3,Veg,Lunch/Dinner,"Fenugreek seeds, coconut, tamarind, jaggery, spices"
Ragi Mudde,Universal,,1 ball (100g),120,3,25,1,Veg,Lunch/Dinner,"Ragi flour, water, salt"
Mutton Stew,Universal,,150g,210,17,10,12,Non-Veg,Lunch/Dinner,"Mutton, coconut milk, potatoes, carrots, spices (cinnamon, cloves), curry leaves"
Chicken Stew,Universal,,1 cup (150g),210,17,10,12,Non-Veg,Lunch/Dinner,"Chicken, coconut milk, potatoes, carrots, spices (cinnamon, cloves), curry leaves"
Mutton Stew,Universal,,150g,210,17,10,12,Non-Veg,Lunch/Dinner,"Mutton, coconut milk, potatoes, carrots, spices (cinnamon, cloves), curry leaves"
Mix Vegetable Curry ,Universal,,1 cup (100g),100,2,18,3,Veg,Lunch/Dinner,"Mixed vegetables (yam, carrot, beans), coconut, yogurt, curry leaves"
Avial,Universal,,1 cup (100g),100,2,18,3,Veg,Lunch/Dinner,"Mixed vegetables (yam, carrot, beans), coconut, yogurt, curry leaves"
Kappa (Tapioca),Universal,,1 bowl (100g),120,1,28,0.5,Veg,Lunch/Dinner,"Tapioca, salt, green chilies, coconut oil"
Parippu Curry,Universal,,1 cup (150g),180,8,20,6,Veg,Lunch/Dinner,"Moong dal, coconut milk, turmeric, mustard seeds, curry leaves"
Sambar,Universal,,1 bowl (150ml),110,5,18,3,Veg,Lunch/Dinner,"Toor dal, tamarind, vegetables, mustard seeds, curry leaves, sambar powder"
Grilled Chicken Sandwich + Salad,Universal,,1 sandwich + salad (200g),365,28,35,12,Non-Vegetarian,Lunch/Dinner,"Grilled chicken, whole wheat bread, lettuce, tomato, cucumber salad"
Paneer Tikka Wrap + Yogurt Dressing,Universal,,1 wrap (180g),385,20,42,15,Veg,Lunch/Dinner,"Paneer tikka, whole wheat tortilla, onion, capsicum, yogurt dressing"
Chicken Wrap + Cucumber Raita,Universal,,1 wrap + raita (200g),420,30,38,15,Non-Vegetarian,Lunch/Dinner,"Grilled chicken, whole wheat tortilla, cucumber raita, onion, tomato"
Vegetable Wrap + Hummus,Western,,1 wrap (180g),320,10,52,8,Veg,Lunch/Dinner,"Mixed vegetables, whole wheat tortilla, chickpea hummus, mint"
Grilled Paneer Sandwich + Salad,Universal,,1 sandwich + salad (200g),385,18,42,15,Veg,Lunch/Dinner,"Grilled paneer, whole wheat bread, mixed salad, mint chutney"
Grilled Cheese Sandwich + Tomato Soup,Universal,,1 sandwich + soup (200g),420,15,52,18,Veg,Breakfast/Lunch,"Grilled cheese sandwich, tomato soup, whole wheat bread"
Pasta with Tomato Basil Sauce,Western,,1 bowl (200g),320,10,58,6,Veg,Lunch/Dinner,"Whole wheat pasta, tomato sauce, basil, garlic, olive oil"
Vegetable Pasta + Cottage Cheese,Western,,1 bowl (200g),365,16,52,12,Veg,Lunch/Dinner,"Whole wheat pasta, mixed vegetables, cottage cheese, herbs"
Vegetable Spaghetti + Marinara Sauce,Western,,1 bowl (200g),320,10,58,6,Veg,Lunch/Dinner,"Whole wheat spaghetti, marinara sauce, mixed vegetables"
Vegetable Panini + Soup,Western,,1 panini + soup (200g),365,12,52,12,Veg,Lunch/Dinner,"Grilled vegetable sandwich, vegetable soup"
Fish Curry,Universal,,1 fish (100g),180,16,5,10,Non-Veg,Lunch/Dinner,"Mackerel/sardines, tamarind, coconut oil, red chili powder, curry leaves"
Chicken Biryani,Universal,,1 plate (250g),350,30,40,12,Non-Veg,Lunch/Dinner,"Basmati rice, chicken, yogurt, mint, spices, fried onions"
Grilled Tofu + Stir-fried Vegetables,Universal,,1 plate (200g),220,18,15,12,Veg,Lunch/Dinner,"Grilled tofu, mixed vegetables, soy sauce, garlic, ginger"
Daliya Khichdi + Vegetables + Ghee,Universal,,1 bowl (200g),280,10,48,6,Veg,Lunch/Dinner,"Broken wheat, moong dal, mixed vegetables, ghee, turmeric"
Grilled Chicken + Roti + Salad,Universal,,1 plate (250g),385,30,35,12,Non-Vegetarian,Lunch/Dinner,"Grilled chicken breast, whole wheat roti, cucumber, tomato, onion"
Lauki Soup + Whole Wheat Roti,Universal,,1 bowl + roti (200g),185,8,32,4,Veg,Lunch/Dinner,"Bottle gourd, ginger, garlic, whole wheat flour, coriander"
Fish Curry + Brown Rice + Beans,Universal,,1 bowl + sides (280g),420,30,48,12,Non-Vegetarian,Lunch/Dinner,"Fish, coconut, brown rice, green beans, curry leaves"
Chana Dal + Chapati + Salad,Universal,,1 bowl + roti + salad (220g),320,15,52,6,Veg,Lunch/Dinner,"Chana dal, whole wheat flour, cucumber, tomato, onion"
